;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Croatia;4658893;4581167;4533028;4536812;4527460;4497735;4295406;4305494;4305384;4305725;4310861;4312487;4313530;4311967;4309796;4302847;4289857;4275984;4247803;4217632;4180915;4131115;4078769;4014341;3968676;3933511;3893026;3862305;3850894
Italy;56844408;56844197;56876364;56904379;56909109;56923524;56960692;56993270;57186378;57611990;58044368;58288996;58510725;59001769;59420592;59690316;59948497;60105185;60277309;60345917;60295497;60163712;60066734;59937769;59816673;59641488;59236213;59030133;58997201
Cyprus;645399;656333;666313;675215;682862;690497;697549;705539;713720;722893;733067;744013;757916;776333;796930;819140;839751;862011;865878;858000;847008;848319;854802;864236;875899;888005;896007;904705;920701
Latvia;2500580;2469531;2444912;2420789;2399248;2381715;2353384;2320956;2299390;2276520;2249724;2227874;2208840;2191810;2162834;2120504;2074605;2044813;2023825;2001468;1986096;1968957;1950116;1934379;1919968;1907675;1893223;1875757;1883008
Lithuania;3642991;3615212;3588013;3562261;3536401;3512074;3486998;3454637;3431497;3398929;3355220;3289835;3249983;3212605;3183856;3141976;3052588;3003641;2974637;2947862;2926644;2895573;2859077;2826200;2812200;2809977;2810761;2805998;2857279
Luxembourg;405650;411600;416850;422050;427350;433600;439000;444050;448300;454960;461230;469086;476187;483799;493500;502066;511840;524853;537039;549680;562958;576249;590667;602005;613894;626108;634730;645397;660809
Hungary;10336700;10321229;10301247;10279724;10253416;10221644;10200298;10174853;10142362;10116742;10097549;10076581;10066158;10045401;10030975;10014324;9985722;9931925;9895250;9850217;9815858;9779652;9739857;9713655;9700272;9689376;9651461;9610403;9599744
Malta;376433;378404;381405;384176;386397;388759;391415;394641;397296;399867;402668;404999;405616;407832;410926;414027;414989;417546;421464;428156;438805;449635;459375;474837;492968;514855;516125;520174;542051
Netherlands;15424122;15493889;15567107;15654192;15760225;15863950;15987075;16105285;16192572;16258032;16305526;16334210;16357992;16405399;16485787;16574989;16655799;16730348;16779575;16829289;16900726;16979120;17081507;17181084;17282163;17407585;17475415;17590672;17811291
Austria;7943489;7953067;7964966;7971116;7982461;8002186;8020946;8063640;8100273;8142573;8201359;8254298;8282984;8307989;8335003;8351643;8375164;8408121;8451860;8507786;8584926;8700471;8772865;8822267;8858775;8901064;8932664;8978929;9104772
Poland;38580597;38609399;38639341;38659979;38666983;38263303;38253955;38242197;38218531;38190608;38173835;38157055;38125479;38115641;38135876;38022869;38062718;38063792;38062535;38017856;38005614;37967209;37972964;37976687;37972812;37958138;37073357;36889761;36753736
Portugal;10008659;10043693;10084196;10133758;10186634;10249022;10330774;10394669;10444592;10473050;10494672;10511988;10532588;10553339;10563014;10573479;10572721;10558950;10503889;10444092;10395121;10368554;10344478;10335770;10333496;10375395;10394297;10421117;10516621
Romania;22712394;22656145;22581862;22526093;22488595;22455485;22430457;21833483;21627509;21521142;21382354;21257016;21130503;20635460;20440290;20294683;20199059;20095996;20020074;19947311;19870647;19760585;19643949;19533481;19414458;19328838;19201662;19042455;19054548
Slovenia;1989477;1990266;1986989;1984923;1978334;1987755;1990094;1994026;1995033;1996433;1997590;2003358;2010377;2010269;2032362;2046976;2050189;2055496;2058821;2061085;2062874;2064188;2065895;2066880;2080908;2095861;2108977;2107180;2116972
Slovakia;5356207;5367790;5378932;5387650;5393382;5398657;5378783;5378951;5374873;5371875;5372685;5372928;5373180;5376064;5382401;5390410;5392446;5404322;5410836;5415949;5421349;5426252;5435343;5443120;5450421;5457873;5459781;5434712;5428792
Finland;5098754;5116826;5132320;5147349;5159646;5171302;5181115;5194901;5206295;5219732;5236611;5255580;5276955;5300484;5326314;5351427;5375276;5401267;5426674;5451270;5471753;5487308;5503297;5513130;5517919;5525292;5533793;5548241;5563970
Sweden;8816381;8837496;8844499;8847625;8854322;8861426;8882792;8909128;8940788;8975670;9011392;9047752;9113257;9182927;9256347;9340682;9415570;9482855;9555893;9644864;9747355;9851017;9995153;10120242;10230185;10327589;10379295;10452326;10521556
Iceland;266978;267958;269874;272381;275712;279049;283361;286575;288471;290570;293577;299891;307672;315459;319368;317630;318452;319575;321857;325671;329100;332529;338349;348450;356991;364134;368792;376248;387758
Norway;4348410;4369957;4392714;4417599;4445329;4478497;4503436;4524066;4552252;4577457;4606363;4640219;4681134;4737171;4799252;4858199;4920305;4985870;5051275;5109056;5165802;5213985;5258317;5295619;5328212;5367580;5391369;5425270;5488984
Switzerland;7019019;7062354;7081346;7096465;7123537;7164444;7204055;7255653;7313853;7364148;7415102;7459128;7508739;7593494;7701856;7785806;7870134;7954662;8039060;8139631;8237666;8327126;8419550;8484130;8544527;8606033;8670300;8738791;8815385
